feature,importance
s1_t0.79_l5_g1.0_energy,0.002416223814238752
s1_t0.79_l5_g0.5_energy,0.0023364916778357394
s1_t2.36_l5_g1.0_energy,0.0023062632627230007
s1_t0.79_l5_g0.5_entropy,0.002274098778258671
s1_t0.79_l10_g0.5_entropy,0.002187226656707565
s1_t2.36_l5_g0.5_energy,0.002169103026512174
s1_t1.57_l5_g1.0_energy,0.0021225811118270716
s1_t2.36_l10_g0.5_entropy,0.0021110867920672307
s3_t2.36_l10_g0.5_entropy,0.002079657080918469
s1_t0_l10_g0.5_energy,0.002058240532970855
s3_t0_l10_g0.5_mean,0.0020554774583355583
s1_t2.36_l10_g1.0_mean,0.0020147359924835217
s1_t0_l5_g1.0_energy,0.0019895661227549485
s1_t1.57_l10_g0.5_mean,0.001962410536006728
s3_t0.79_l10_g0.5_mean,0.0019562863543864046
s1_t1.57_l5_g1.0_entropy,0.0019236844502358193
s1_t2.36_l5_g0.5_entropy,0.001920983161639603
s1_t0_l10_g0.5_entropy,0.0019048873043140257
s1_t2.36_l5_g0.5_mean,0.0018753990917091676
s1_t1.57_l10_g0.5_entropy,0.001860804460621402
s1_t1.57_l5_g0.5_energy,0.0018505106708202061
s3_t2.36_l10_g0.5_mean,0.0018221396494633908
s1_t1.57_l10_g0.5_energy,0.0018100774685927564
s1_t2.36_l10_g0.5_energy,0.0018098958298987957
s1_t0_l10_g1.0_energy,0.0017921641854084628
s3_t1.57_l10_g1.0_mean,0.0017918885778845876
s1_t1.57_l5_g1.0_mean,0.0017891350847369489
s1_t0.79_l10_g1.0_energy,0.0017863148233785123
s1_t0.79_l5_g0.5_mean,0.001785175678769989
s1_t2.36_l5_g1.0_entropy,0.001782313312450418
s1_t1.57_l10_g1.0_energy,0.0017790841189454258
s1_t2.36_l10_g1.0_energy,0.001773050736467351
s1_t0.79_l10_g0.5_energy,0.0017699943974357779
s3_t0.79_l10_g1.0_mean,0.0017598140813746938
s1_t1.57_l10_g1.0_entropy,0.001701189194444709
s1_t2.36_l5_g1.0_mean,0.001687314163676529
s1_t0_l10_g1.0_entropy,0.00167566207860296
s1_t1.57_l5_g0.5_entropy,0.0016710434356416522
s3_t1.57_l10_g0.5_mean,0.0016459670621673727
s3_t0_l10_g0.5_entropy,0.0016194591692530623
s1_t0_l5_g1.0_entropy,0.0016141361745711218
s1_t2.36_l10_g0.5_mean,0.0016120297108603012
s3_t0_l10_g1.0_mean,0.0016066035797382878
s1_t0.79_l10_g1.0_mean,0.0015800823800538042
s1_t0.79_l5_g1.0_entropy,0.001577359792507264
s1_t0.79_l10_g1.0_entropy,0.0015732119826176105
s1_t2.36_l10_g1.0_entropy,0.0015705764271643156
s1_t0_l5_g1.0_mean,0.0015537255765189827
s1_t0.79_l5_g1.0_mean,0.001536729534632275
s3_t1.57_l10_g0.5_entropy,0.001525212872808378
s3_t0.79_l10_g0.5_entropy,0.0015229109209015492
s1_t1.57_l5_g0.5_mean,0.001519314409939809
s3_t2.36_l10_g1.0_mean,0.0014876259490830298
s3_t0.79_l10_g1.0_entropy,0.0014841954845557582
s1_t0.79_l10_g0.5_mean,0.0013921861402205477
s1_t1.57_l10_g1.0_mean,0.001341307283891851
s3_t2.36_l10_g1.0_entropy,0.0012804840339463563
s1_t0_l5_g0.5_mean,0.0012596568231938413
s1_t0_l10_g0.5_mean,0.0012312361239304103
s1_t0_l10_g1.0_mean,0.0011893446935266766
s3_t0.79_l5_g0.5_entropy,0.001141723155214273
s3_t1.57_l10_g1.0_entropy,0.0010758045189909575
s3_t0_l10_g1.0_entropy,0.000988314433411754
s3_t2.36_l5_g0.5_entropy,0.0009260112239337823
s3_t1.57_l5_g0.5_entropy,0.0008473384142086592
s3_t2.36_l5_g1.0_entropy,0.0008072025949118504
s3_t0_l5_g1.0_entropy,0.0007905156295355815
s3_t1.57_l5_g1.0_entropy,0.0005650331508086296
s3_t0_l5_g0.5_entropy,0.0005138176751780161
s3_t0.79_l5_g1.0_entropy,0.00043701107340988034
